Unnamed: 0,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved,final_price
2022178,"CNR Quality Signature, Alwal, Hyderabad",CNR Quality Signature,"3rd party, Property Science",,17.50117514,78.49625904,,7429.0,,Gated community / Apartment,500010.0,,745.55,,,yes,5538690.949999999
2022179,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",900.0,,,yes,7713900.0
2022180,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,,828.75,,,yes,7103216.25
2022181,"GK Casa Grande, Yapral, Hyderabad",GK Casa Grande,"3rd party, Property Science",,17.514976,78.540068,,9286.0,,Stand Alone / Apartment,500078.0,"Yapral, Hyderabad",2054.0,,,no,19073444.0
2022182,"GK Casa Grande, Yapral, Hyderabad",GK Casa Grande,"3rd party, Property Science",,17.514976,78.540068,,9286.0,,Stand Alone / Apartment,500078.0,"Yapral, Hyderabad",1701.0,,,no,15795486.0
2022183,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",845.0,,,yes,7242495.0
2022185,"GK Casa Grande, Yapral, Hyderabad",GK Casa Grande,"3rd party, Property Science",,17.514976,78.540068,,9286.0,,Stand Alone / Apartment,500078.0,,715.0,,,no,6639490.0
2022188,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,4380.0,,Stand Alone / Apartment,500087.0,Yapral,3900.0,,,no,17082000.0
2022189,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,4380.0,,Stand Alone / Apartment,500087.0,Yapral,2223.0,,,no,9736740.0
2022190,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,7692.0,,Stand Alone / Apartment,500087.0,Yapral,1426.75,,,no,10974561.0
2022191,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,7692.0,,Stand Alone / Apartment,500087.0,Yapral,1343.55,,,no,10334586.6
2022192,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,5252.0,,Stand Alone / Apartment,500087.0,Yapral,672.75,,,no,3533283.0
2022193,", Yapral",,"3rd party, Property Science",,17.50621978,78.54053743,,5252.0,,Stand Alone / Apartment,500087.0,Yapral,672.75,,,no,3533283.0
2022196,"Bhavani Heights, Yapral",Bhavani Heights,"3rd party, Property Science",,17.50621978,78.54053743,,6752.0,,Commercial Spaces,500087.0,,1170.0,,,no,7899840.0
2022197,"Bhavani Heights, Yapral",Bhavani Heights,"3rd party, Property Science",,17.50621978,78.54053743,,6752.0,,Commercial Spaces,500087.0,Yapral,1120.0,,,no,7562240.0
2022198,"fortune avenue, Yapral",fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000.0,,Gated community / Apartment,500078.0,Yapral,809.25,,,no,3237000.0
2022199,"Fortune avenue, Yapral",Fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000.0,,Gated community / Apartment,500078.0,Yapral,800.0,,,no,3200000.0
2022200,"Fortune avenue, Yapral",Fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000.0,,Gated community / Apartment,500078.0,Yapral,950.0,,,no,3800000.0
2022201,"fortune avenue, Yapral",fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000.0,,Gated community / Apartment,500078.0,Yapral,833.95,,,no,3335800.0
2022202,"Fortune avenue, Yapral",Fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000.0,,Gated community / Apartment,500078.0,Yapral,763.0,,Hyderabad,no,3052000.0
2022203,"Fortune avenue, Yapral",Fortune avenue,"3rd party, Property Science",,17.52062275,78.54616949,,4000.0,,Gated community / Apartment,500078.0,Yapral,1235.0,,,no,4940000.0
2022206,"GK Sunflower Apartments, Manik Sai Enclave",GK Sunflower Apartments,"3rd party, Property Science",,17.49660469,78.54658992,,4800.0,,Stand Alone / Apartment,500094.0,Manik Sai Enclave,942.5,,,no,4524000.0
2022207,"GK Sunflower Apartments, Manik Sai Enclave",GK Sunflower Apartments,"3rd party, Property Science",,17.49660469,78.54658992,,4800.0,,Stand Alone / Apartment,500094.0,Manik Sai Enclave,942.5,,,no,4524000.0
2022208,"GKs Habitat Royale, Pedso 2",GKs Habitat Royale,"3rd party, Property Science",,17.510527,78.542567,,6755.0,,Gated community / Apartment,500087.0,Pedso 2,1185.0,,,no,8004675.0
2022209,"GKs Habitat Royale, Pedso 2",GKs Habitat Royale,"3rd party, Property Science",,17.510527,78.542567,,6755.0,,Gated community / Apartment,500087.0,Pedso 2,1105.0,,,no,7464275.0
2022210,"GKs Habitat Royale, Yapral",GKs Habitat Royale,"3rd party, Property Science",,17.510527,78.542567,,6666.0,,Gated community / Apartment,500087.0,Yapral,735.0,,,no,4899510.0
2022211,"GKs Habitat Royale, Yapral",GKs Habitat Royale,"3rd party, Property Science",,17.510527,78.542567,,6666.0,,Gated community / Apartment,500087.0,Yapral,747.5,,,no,4982835.0
2022212,"Golf Pride Homes, Yapral",Golf Pride Homes,"3rd party, Property Science",,17.50621978,78.54053743,,4725.0,,Commercial Spaces,500087.0,Yapral,2197.0,,,no,10380825.0
2022213,"Golf Pride Homes, Yapral",Golf Pride Homes,"3rd party, Property Science",,17.50621978,78.54053743,,4725.0,,Commercial Spaces,500087.0,,6825.0,,,no,32248125.0
2022214,"gowthaminivas pedso phase2 colony, Yapral",gowthaminivas pedso phase2 colony,"3rd party, Property Science",,17.50621978,78.54053743,,7191.0,,Commercial Spaces,500087.0,Yapral,842.0,,,no,6054822.0
2022215,"gowthaminivas pedso phase2 colony, Yapral",gowthaminivas pedso phase2 colony,"3rd party, Property Science",,17.50621978,78.54053743,,7191.0,,Commercial Spaces,500087.0,Yapral,835.0,,,no,6004485.0
